[ 2025-05-26 12:21:34,645 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-26 12:21:35,532 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-26 12:21:35,532 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-26 12:21:35,532 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-26 12:21:35,593 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-26 12:21:35,593 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-26 12:21:35,601 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-26 12:21:35,678 ] 32 root - INFO - Required number of columns:2
[ 2025-05-26 12:21:35,698 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-26 12:21:35,698 ] 32 root - INFO - Required number of columns:2
[ 2025-05-26 12:21:35,698 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-26 12:21:35,886 ] 28 root - INFO - data Validation Completed
[ 2025-05-26 12:21:35,886 ] 31 root - INFO - data Transformation started
[ 2025-05-26 12:21:35,886 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-26 12:21:35,886 ] 65 root - INFO - Starting data transformation
[ 2025-05-26 12:21:35,912 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-26 12:21:35,912 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-26 12:21:35,944 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 12:21:35,951 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 12:21:35,951 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 12:21:35,955 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 12:21:35,956 ] 35 root - INFO - data Transformation completed
[ 2025-05-26 12:21:35,956 ] 37 root - INFO - Model Training sstared
[ 2025-05-26 12:26:33,444 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 12:26:33,444 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 12:26:33,444 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 12:26:33,488 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 12:26:33,488 ] 155 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_26_2025_12_21_32\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915761696945092, precision_score=0.9880663430420712, recall_score=0.9951110205744551), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.977299880525687, precision_score=0.9714964370546318, recall_score=0.9831730769230769))
[ 2025-05-26 12:26:33,493 ] 42 root - INFO - Model Training artifact created
